order_id,purchase_date,customer_id,customer_gender,customer_age,product_category,product_name,product_price,quantity,order_total,payment_method,shipping_region
96,8/12/23,822,Masculino,18,Accesorios,Bolso,90.72,3,272.16,PayPal,Oeste
142,3/09/23,139,Femenino,18,Ropa,Pantalón,131.68,3,395.04,PayPal,Oeste
216,24/08/23,86,Masculino,18,Calzado,Zapatillas,36.18,1,36.18,Transferencia bancaria,Este
235,15/03/23,473,Masculino,18,Ropa,Vestido,78.55,5,392.75,Transferencia bancaria,Centro
284,24/04/23,113,Masculino,18,Calzado,Sandalias,116.37,1,116.37,Tarjeta de crédito,Norte
313,15/07/23,837,Masculino,18,Accesorios,Reloj,133.15,3,399.45,Tarjeta de crédito,Oeste
406,12/02/23,896,Femenino,18,Accesorios,Bufanda,112.24,1,112.24,Efectivo,Centro
453,30/10/23,879,Femenino,18,Accesorios,Gorro,152.49,3,457.47,Transferencia bancaria,Norte
574,22/12/23,993,Femenino,18,Calzado,Botas,54.74,4,218.96,PayPal,Centro
774,21/09/23,873,Femenino,18,Calzado,Sandalias,95.74,4,382.96,Tarjeta de crédito,Centro
831,11/04/23,843,Femenino,18,Ropa,Sweater,170.94,3,512.82,Transferencia bancaria,Sur
943,12/01/23,259,Masculino,18,Accesorios,Cinturón,87.52,1,87.52,Tarjeta de crédito,Norte
1012,2/01/23,853,Femenino,18,Calzado,Botas,91.53,5,457.65,PayPal,Sur
1015,7/04/23,217,Femenino,18,Calzado,Pantuflas,110.07,5,550.35,Tarjeta de crédito,Oeste
1134,19/06/23,53,Masculino,18,Calzado,Sandalias,169.53,4,678.12,Transferencia bancaria,Este
1172,5/04/23,604,Masculino,18,Ropa,Camiseta,41.86,1,41.86,PayPal,Centro
1185,8/10/23,945,Masculino,18,Ropa,Camiseta,89.01,2,178.02,Transferencia bancaria,Norte
1234,25/06/23,750,Masculino,18,Ropa,Camiseta,121.89,1,121.89,Tarjeta de crédito,Norte
1257,27/01/23,812,Femenino,18,Calzado,Zapatillas,94.59,4,378.36,PayPal,Este
1309,2/12/23,607,Masculino,18,Calzado,Pantuflas,90.94,3,272.82,Transferencia bancaria,Oeste
1312,19/05/23,137,Femenino,18,Ropa,Camiseta,100.45,3,301.35,PayPal,Centro
1402,31/05/23,334,Femenino,18,Ropa,Vestido,103.34,3,310.02,PayPal,Oeste
1624,3/05/23,182,Femenino,18,Accesorios,Cinturón,166.67,2,333.34,PayPal,Norte
1760,10/05/23,915,Femenino,18,Accesorios,Cinturón,68.71,4,274.84,Transferencia bancaria,Centro
1768,8/11/23,709,Masculino,18,Ropa,Chaqueta,55.45,3,166.35,Tarjeta de crédito,Sur
1798,5/06/23,727,Femenino,18,Calzado,Zapatos formales,46.55,1,46.55,Transferencia bancaria,Centro
1955,31/12/23,776,Masculino,18,Accesorios,Cinturón,159.78,2,319.56,Transferencia bancaria,Este
1960,5/01/23,485,Femenino,18,Accesorios,Cinturón,125.95,1,125.95,Transferencia bancaria,Oeste
2038,20/12/23,493,Femenino,18,Ropa,Vestido,19.45,3,58.35,PayPal,Norte
2084,21/02/23,670,Femenino,18,Calzado,Zapatillas,170.86,5,854.3,Transferencia bancaria,Sur
2101,13/02/23,187,Masculino,18,Accesorios,Bolso,186.39,4,745.56,Tarjeta de crédito,Este
